uid	Rep	Year	Loc	Harvest	Yield	Brix	pH	TA
33-16	1	2009	OH	9/7/13		5.7	4.42	0.39
38-11	1	2009	CA	9/23/10	38789.8	4.75	4.47	0.34
4226	1	2010	CA			4.34	4.44	0.29
4722	2	2009	OH	9/14/13		5.4	4.48	0.38
A188	2	2009	CA	9/14/10		4.84	4.67	0.25
A214N	2	2010	OH	9/30/14	93832.21	5.4	4.58	0.31
A239	2	2010	CA			5.16	4.47	0.29
A272	1	2009	OH	9/7/13		5.5	4.44	0.44
A441-5	1	2009	CA	9/12/10	30888.17	5.65	4.47	0.33
A554	1	2010	CA			4.54	4.52	0.23
A556	2	2009	OH	9/14/13		5.2	4.34	0.45
A6	2	2009	CA	9/16/10		5.87	4.45	0.31
A619	2	2010	OH	9/30/14	59240.34	5.2	4.52	0.32
A632	2	2010	CA			3.59	4.53	0.2
A634	1	2009	OH	9/7/13		4.9	4.17	0.39
A635	1	2009	CA	9/16/10	70396.3	5.5	4.34	0.34
A641	1	2010	CA			5	4.43	0.32
A654	2	2009	OH	9/14/13		5.8	4.29	0.45
A659	2	2009	CA	9/14/10		5.34	4.43	0.32
A661	2	2010	OH	9/30/14	129124.33	4.8	4.47	0.35
A679	2	2010	CA			5.03	4.43	0.31
A680	1	2009	OH	9/7/13		5.1	4.12	0.55
A682	1	2009	CA	9/14/10	33761.49	5.65	4.36	0.38
AB28A	1	2010	CA			4.91	4.26	0.42
B10	2	2009	OH	9/14/13		5.8	4.18	0.6
B103	2	2009	CA	9/16/10		4.97	4.29	0.37
B104	2	2010	OH	9/28/14	101674.91	5.4	4.32	0.55
B105	2	2010	CA			4.64	4.29	0.36
B109	1	2009	OH	9/7/13		7.4	4.28	0.52
B115	1	2009	CA	9/23/10	38789.8	6.65	4.38	0.38
B14A	1	2010	CA			7.17	4.55	0.29
B164	2	2009	OH	9/14/13		7	4.24	0.51
B2	2	2009	CA	10/5/10		6.28	4.4	0.31
B37	2	2010	OH	9/30/14	108817.36	6.2	4.39	0.41
B46	2	2010	CA			6	4.67	0.23
B52	1	2009	OH	9/7/13		5.3	4.51	0.27
B57	1	2009	CA	10/3/10	25141.54	5.75	4.5	0.33
B64	1	2010	CA			6.75	4.34	0.46
B68	2	2009	OH	9/16/13		5.9	4.26	0.45
B73	2	2009	CA	10/9/10		5.32	4.38	0.31
B73HTRHM	2	2010	OH	9/28/14	94392.41	5.6	4.43	0.34
B75	2	2010	CA			6.44	4.33	0.33
B76	1	2009	OH	9/7/13		6.3	4.4	0.37
B77	1	2009	CA	9/14/10	22986.55	6.75	4.6	0.3
B79	1	2010	CA			6.3	4.53	0.31
B84	2	2009	OH	9/16/13		8	4.16	0.56
B97	2	2009	CA	9/12/10		7.07	4.46	0.36
C103	2	2010	OH	9/23/14	43695	7.1	4.36	0.44
C123	2	2010	CA			5.82	4.61	0.25
C49A	1	2009	OH	9/7/13		5.7	4.24	0.44
CH701-30	1	2009	CA	9/23/10	26578.2	6.1	4.25	0.51
CH9	1	2010	CA			7.02	4.18	0.55
CI7	2	2009	OH	9/16/13		6.4	4.3	0.65
CI187-2	2	2009	CA	10/3/10		5.99	4.2	0.41
CI21E	2	2010	OH	9/28/14	76326.2	7.2	4.3	0.53
CI28A	2	2010	CA			4.83	4.45	0.26
CI31A	1	2009	OH	9/10/13		6.4	4.19	0.41
CI3A	1	2009	CA	9/16/10	23704.88	6.45	4.43	0.38
CI64	1	2010	CA			6.06	4.31	0.4
CI66	2	2009	OH	9/14/13		7.3	4.15	0.6
CI90C	2	2009	CA	9/16/10		6.44	4.58	0.32
CI91B	2	2010	OH	9/16/14	64282.07	7.4	4.42	0.56
CM105	2	2010	CA			6.04	4.47	0.32
CM174	1	2009	OH	9/10/13		6.8	4.32	0.41
CM37	1	2009	CA	10/6/10	40944.79	6.3	4.36	0.39
CM7	1	2010	CA			6.53	4.09	0.48
CML10	2	2009	OH	9/14/13		6.8	4.37	0.4
CML103	2	2009	CA	10/9/10		5.96	4.32	0.34
CML108	2	2010	OH	9/28/14	103915.68	6.8	4.36	0.48
CML11	2	2010	CA			5.8	4.52	0.23
CML14	1	2009	OH	9/7/13		6.2	4.46	0.37
CML154Q	1	2009	CA	9/23/10	35198.15	5.4	4.39	0.34
CML157Q	1	2010	CA			7.86	4.52	0.24
CML158Q	2	2009	OH	9/14/13		6.5	4.23	0.44
CML218	2	2009	CA	10/5/10		4.88	4.32	0.3
CML220	2	2010	OH	9/28/14	110217.84	5.7	4.4	0.36
CML228	2	2010	CA			5.43	4.34	0.31
CML238	1	2009	OH	9/10/13		6.5	4.26	0.39
CML247	1	2009	CA	9/20/10	48846.41	6.2	4.41	0.35
CML254	1	2010	CA			5.15	4.42	0.29
CML258	2	2009	OH	9/14/13		7.5	4.21	0.61
CML261	2	2009	CA	9/16/10		6.38	4.48	0.31
CML264	2	2010	OH	9/28/14	102655.24	6	4.51	0.4
CML277	2	2010	CA			6.17	4.5	0.31
CML281	1	2009	OH	9/10/13		6	4.51	0.33
CML287	1	2009	CA	10/5/10	18676.57	6.4	4.51	0.34
CML311	1	2010	CA			6.79	4.38	0.35
CML314	2	2009	OH	9/16/13		6.8	4.49	0.44
CML321	2	2009	CA	9/20/10		6.01	4.47	0.3
CML322	2	2010	OH	9/30/14	89210.63	7.8	4.5	0.31
CML323	2	2010	CA			6.11	4.47	0.3
