Line,Rep,Year,Loc,Harvest,Yield,Brix,pH,TA
SCT_0001,1,2009,OH,9/7/13,NA,5.7,4.42,0.39
SCT_0001,1,2009,CA,9/23/10,38789.8,4.75,4.47,0.34
SCT_0001,1,2010,CA,NA,NA,4.34,4.44,0.29
SCT_0001,2,2009,OH,9/14/13,NA,5.4,4.48,0.38
SCT_0001,2,2009,CA,9/14/10,NA,4.84,4.67,0.25
SCT_0001,2,2010,OH,9/30/14,93832.21,5.4,4.58,0.31
SCT_0001,2,2010,CA,NA,NA,5.16,4.47,0.29
SCT_0002,1,2009,OH,9/7/13,NA,5.5,4.44,0.44
SCT_0002,1,2009,CA,9/12/10,30888.17,5.65,4.47,0.33
SCT_0002,1,2010,CA,NA,NA,4.54,4.52,0.23
SCT_0002,2,2009,OH,9/14/13,NA,5.2,4.34,0.45
SCT_0002,2,2009,CA,9/16/10,NA,5.87,4.45,0.31
SCT_0002,2,2010,OH,9/30/14,59240.34,5.2,4.52,0.32
SCT_0002,2,2010,CA,NA,NA,3.59,4.53,0.2
SCT_0003,1,2009,OH,9/7/13,NA,4.9,4.17,0.39
SCT_0003,1,2009,CA,9/16/10,70396.3,5.5,4.34,0.34
SCT_0003,1,2010,CA,NA,NA,5,4.43,0.32
SCT_0003,2,2009,OH,9/14/13,NA,5.8,4.29,0.45
SCT_0003,2,2009,CA,9/14/10,NA,5.34,4.43,0.32
SCT_0003,2,2010,OH,9/30/14,129124.33,4.8,4.47,0.35
SCT_0003,2,2010,CA,NA,NA,5.03,4.43,0.31
SCT_0004,1,2009,OH,9/7/13,NA,5.1,4.12,0.55
SCT_0004,1,2009,CA,9/14/10,33761.49,5.65,4.36,0.38
SCT_0004,1,2010,CA,NA,NA,4.91,4.26,0.42
SCT_0004,2,2009,OH,9/14/13,NA,5.8,4.18,0.6
SCT_0004,2,2009,CA,9/16/10,NA,4.97,4.29,0.37
SCT_0004,2,2010,OH,9/28/14,101674.91,5.4,4.32,0.55
SCT_0004,2,2010,CA,NA,NA,4.64,4.29,0.36
SCT_0005,1,2009,OH,9/7/13,NA,7.4,4.28,0.52
SCT_0005,1,2009,CA,9/23/10,38789.8,6.65,4.38,0.38
SCT_0005,1,2010,CA,NA,NA,7.17,4.55,0.29
SCT_0005,2,2009,OH,9/14/13,NA,7,4.24,0.51
SCT_0005,2,2009,CA,10/5/10,NA,6.28,4.4,0.31
SCT_0005,2,2010,OH,9/30/14,108817.36,6.2,4.39,0.41
SCT_0005,2,2010,CA,NA,NA,6,4.67,0.23
SCT_0006,1,2009,OH,9/7/13,NA,5.3,4.51,0.27
